Fault Label,Throttle,Mean Voltage,Mean Current,Mean Speed_RPM,Mean Torque,Mean Thrust,Electrical Power,Mechanical Power,Efficiency
0,0.963033249970082,195.603434246543,114.803855462319,2469.36626779048,-74.4659811503488,137.899965093238,22456.0283931734,19256.8627029629,85.7536442589154
0,0.905410362576429,195.610326479945,114.676924268096,2468.1423967701,-74.4138714607546,137.803465668063,22431.9905957982,19233.8497287767,85.7429466486112
0,0.396024416257471,199.485167407709,40.505087274196,1771.61573359278,-38.4187346721045,71.1458049483405,8080.16411575683,7127.78665931791,88.213389693636
0,0.511276279477604,198.440700037009,60.5053161112192,2014.48673768403,-49.6799479812109,91.9999036689125,12006.7172850708,10480.6363322842,87.2897735779606
0,0.447347309442156,199.041412999451,49.0038796227327,1882.57122438302,-43.4053467085245,80.3802716824494,9753.80144256373,8557.29989505044,87.7329720667474
0,0.818634222919594,195.627405371767,114.36193826994,2464.52532272827,-74.2577299492915,137.514314720909,22372.3292570347,19165.3634797723,85.6654810484073
0,0.446999655480267,199.044522729522,48.9443370597589,1881.84299666368,-43.3717139001387,80.3179887039565,9742.10221037255,8547.36161443888,87.7363163500624
0,0.371286560783395,199.688920636884,36.603560475234,1714.23793550565,-35.9856416743548,66.6400771747311,7309.32548276638,6460.14787848905,88.3822713015108
0,0.786417104178496,195.635952776423,114.204185794232,2463.08022407453,-74.1899375303559,137.388773204362,22342.4446989103,19136.6392246669,85.6515009102844
0,0.824228451872722,195.626187680681,114.384401553876,2464.72939824054,-74.2670107250259,137.53150134264,22376.5844061208,19169.345968522,85.6669884045328
0,0.520306561107679,198.352489236366,62.1951938008872,2032.06967605842,-50.553294000765,93.617211112532,12336.5715089442,10757.9658355661,87.2038542294058
0,0.714790887357695,196.210803051999,103.202724718633,2386.22265257354,-69.6451837260992,128.972562455729,20249.4894941975,17403.8030212445,85.9468730124364
0,0.579772196869341,197.751298776452,73.7141084117541,2142.31619214926,-56.2337468342061,104.136568211497,14577.0606765726,12616.0295725356,86.547143161799
0,0.705114580691855,196.327592050715,100.966786598649,2369.85742749171,-68.6950678093413,127.213088535823,19822.5660900111,17048.6455838322,86.0062491728721
0,0.863921517494348,195.616472206283,114.562862992558,2467.12768683033,-74.3705308815579,137.723205336218,22410.383104456,19214.7445619606,85.7403662953892
0,0.923105729618011,195.608068186408,114.71856944766,2468.56788728932,-74.4324852223041,137.837935596859,22439.8777547651,19241.9774626575,85.7490297983974
0,0.523537735852515,198.320571221691,62.8064362304336,2038.40180921602,-50.8684440770256,94.2008223648735,12455.8083096183,10858.7630577666,87.1783090093116
0,0.768524302942718,195.641385695856,114.10370926105,2462.48842095233,-74.1542583325098,137.322700615758,22323.4077928688,19122.8403506245,85.662729131944
0,0.927593819697612,195.607476635765,114.729253730833,2468.66526933787,-74.4365328545091,137.845431212053,22441.8998185926,19243.7829540113,85.7493488054353
0,0.455012887945696,198.977936511944,50.2316880498884,1894.69086671102,-44.0149070687668,81.5090871643875,9994.9976356785,8733.33777592699,87.3770869615031
0,0.687718502778124,196.534684037733,97.0011579688701,2340.22957814003,-66.9911678178384,124.057718181186,19064.0919327061,16417.919405325,86.1195983699521
0,0.370578785998391,199.694634724329,36.4941517529495,1712.57003246776,-35.9160618437485,66.5112256365658,7287.68630387946,6441.38351637476,88.3872226078915
0,0.523679700849922,198.319175557486,62.8332628764778,2038.67648371724,-50.8821451998125,94.2261948144721,12461.0408912499,10863.151414802,87.1769181211019
0,0.461768522125266,198.916728030106,51.4036417334211,1908.55997778487,-44.6641382363155,82.711367104286,10225.0442224439,8927.02761337133,87.3055159387629
0,0.893831156805998,195.611932538564,114.646977720714,2467.88559562743,-74.4031402849816,137.783593120336,22426.3168716545,19229.0751051161,85.7433488305894
0,0.518251520564099,198.372730636301,61.8075711856888,2028.02909789959,-50.3526658725211,93.2456775417051,12260.9366701027,10693.9649750014,87.2198043488621
0,0.976398310716556,195.60204494168,114.829550280228,2469.61537192007,-74.4764384703444,137.919330500637,22460.8948545461,19261.5098222036,85.7557543763893
0,0.902492495429377,195.610712726391,114.669627556203,2468.10539356548,-74.4126873035737,137.801272784395,22430.6075743386,19233.2553025083,85.7455833007028
0,0.490696048464264,198.646105241488,56.582738591066,1968.50658091891,-47.5032656207179,87.9690104087292,11239.9406450125,9792.69986276283,87.124124335195
0,0.416815925135007,199.307873968494,43.9001215991901,1818.49650293407,-40.4651693742573,74.9354988412173,8749.63990289296,7706.12304929537,88.0736022833059
0,0.928465086903556,195.607416359811,114.729732589379,2468.7448401521,-74.4408451818637,137.853417003451,22441.9865714606,19245.5181107224,85.7567490713894
0,0.930447881236212,195.607154823558,114.735544817569,2468.70345114927,-74.4379207207184,137.848001334663,22443.0934788955,19244.4393946605,85.7477130448046
0,0.573986053804319,197.812170801788,72.5484785196492,2131.490932035,-55.6681721777982,103.08920773667,14350.9720243387,12426.0345795309,86.5867103528376
0,0.434548318616601,199.152328736105,46.8785440594284,1857.60568532703,-42.2120138037889,78.1703959329332,9335.97121719326,8211.67418902728,87.9573640276926
0,0.340423837927932,199.931914805218,31.95040850201,1640.00166971001,-32.953750058499,61.0254630712958,6387.90635061579,5659.67170584824,88.5997914684934
0,0.417686364564714,199.300327594342,44.0445050180502,1820.43477549306,-40.5508879813983,75.0942370025816,8778.08427882804,7730.67825515352,88.0679429542415
0,0.426792312660498,199.22087836953,45.5659191117292,1840.57381333071,-41.4473015573251,76.7542621431968,9077.68242915364,7988.9850120048,88.0068792266579
